Entry ID,Order,Entry Type  ,Visibility,Categories                                         ,Family Name,Honorific Prefix,First Name,Middle Name,Last Name,Honorific Suffix,Title,Organization                                            ,Department,Contact First Name,Contact Last Name,Home Address | Line One,Home Address | Line Two         ,Home Address | Line Three,Home Address | Line Four,Home Address | District,Home Address | County,Home Address | City,Home Address | State,Home Address | Zipcode,Home Address | Country,Home Address | Latitude,Home Address | Longitude,Home Address | Visibility,Other Address | Line One,Other Address | Line Two,Other Address | Line Three,Other Address | Line Four,Other Address | District,Other Address | County,Other Address | City,Other Address | State,Other Address | Zipcode,Other Address | Country,Other Address | Latitude,Other Address | Longitude,Other Address | Visibility,Work Address | Line One                       ,Work Address | Line Two,Work Address | Line Three,Work Address | Line Four,Work Address | District,Work Address | County,Work Address | City,Work Address | State,Work Address | Zipcode,Work Address | Country,Work Address | Latitude,Work Address | Longitude,Work Address | Visibility,Phone | Cell Phone | Number,Phone | Cell Phone | Visibility,Phone | Home Phone | Number,Phone | Home Phone | Visibility,Phone | Work Phone | Number,Phone | Work Phone | Visibility,Email | Personal Email | Address    ,Email | Personal Email | Visibility,Email | Work Email | Address        ,Email | Work Email | Visibility,Social Network | Facebook | URL                              ,Social Network | Facebook | Visibility,Social Network | Instagram | URL      ,Social Network | Instagram | Visibility,Social Network | Twitter | URL     ,Social Network | Twitter | Visibility,Im Uid,Im Visibility,Link | Website | URL                      ,Link | Website | Title                ,Link | Website | Visibility,Dates Date,Dates Visibility,Biography                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Notes                                                                                                                                                                                      ,Photo URL                                                                                                                                                        ,Logo URL
13      ,0    ,organization,public    ,"Pets,Dog Sitting &amp; Boarding"                  ,           ,                ,          ,           ,         ,                ,     ,Doggy Day Care Cornwall                                 ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 317123               ,public                         ,                           ,                               ,info@doggydaycarecornwall.co.uk     ,public                             ,                                    ,                               ,http://www.facebook.com/doggydaycarecornwall                 ,public                                ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.doggydaycarecornwall.co.uk     ,www.doggydaycarecornwall.co.uk        ,public                     ,          ,                ,Luxury home dog boarding and sitting in St Erth. Doggy Day Care Cornwall is the region\'s first professional luxury dog day care and home boarding solution.                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                           ,                                                                                                                                                                 ,
14      ,0    ,organization,public    ,"Cafes and Coffee Shops,Restaurants"               ,           ,                ,          ,           ,         ,                ,     ,Una Kitchen                                             ,          ,                  ,                 ,Una                    ,Laity Lane                      ,                         ,                        ,                       ,                     ,Carbis Bay         ,                    ,TR26 3HW              ,                      ,50.1877805             ,-5.4652476              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 257 000              ,public                         ,hello@unastives.co.uk               ,public                             ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.unastives.co.uk                ,www.unastives.co.uk                   ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/una-kitchen/Screen-Shot-2017-02-02-at-11.14.52.png.png                                        ,
15      ,0    ,organization,public    ,Spas                                               ,           ,                ,          ,           ,         ,                ,     ,Una Spa                                                 ,          ,                  ,                 ,Una                    ,Laity Lane                      ,                         ,                        ,                       ,                     ,Carbis Bay         ,                    ,TR26 3HW              ,                      ,50.1877805             ,-5.4652476              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 792907               ,public                         ,una.spa@spieziaorganics.com         ,public                             ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.unastives.co.uk                ,www.unastives.co.uk                   ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/una-spa/Screen-Shot-2017-02-02-at-11.15.11.png.png                                            ,
16      ,0    ,organization,public    ,Bookshops                                          ,           ,                ,          ,           ,         ,                ,     ,St Ives Bookseller                                      ,          ,                  ,                 ,2 Fore Street          ,                                ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 1AB              ,                      ,50.2131472             ,-5.4802438              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 796676               ,public                         ,stivesbookseller@mabecronbooks.co.uk,public                             ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,http://www.twitter.com/stivesbooks ,public                               ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-bookseller/Screen-Shot-2017-02-02-at-11.15.26.png.png                                 ,
17      ,0    ,organization,public    ,Storage                                            ,           ,                ,          ,           ,         ,                ,     ,Store City                                              ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 711211               ,public                         ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/store-city/Screen-Shot-2017-02-02-at-11.15.36.png.png                                         ,
18      ,0    ,organization,public    ,Motors &amp; Vehicles                              ,           ,                ,          ,           ,         ,                ,     ,St Ives Motor Company                                   ,          ,                  ,                 ,Lower Tregarthen       ,Long Rock                       ,                         ,                        ,                       ,                     ,Penzance           ,                    ,TR20 8LD              ,                      ,50.1322228             ,-5.4951402              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 711211               ,public                         ,                                    ,                                   ,info@stivesmotor.co.uk              ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.stivesmotor.co.uk              ,www.stivesmotor.co.uk                 ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Bespoke vehicles sales and sourcing
Servicing and MOT
Full valeting and bodyshop"                                                                                                         ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-motor-company/Screen-Shot-2017-02-02-at-11.16.02.png.png                              ,
19      ,0    ,organization,public    ,"Legal,Solicitors"                                 ,           ,                ,          ,           ,         ,                ,     ,Coodes Solicitors                                       ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,The Guildhall                                 ,Street-an-Pol          ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2DS              ,                      ,50.2116359             ,-5.4803025              ,public                   ,                           ,                               ,                           ,                               ,01736 339333               ,public                         ,                                    ,                                   ,info@coodes.co.uk                   ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.coodes.co.uk                   ,www.coodes.co.uk                      ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/coodes-solicitors/Coodes-logo-black-PRINT.jpg.jpg                                             ,
20      ,0    ,organization,public    ,"Cafes and Coffee Shops,Restaurants"               ,           ,                ,          ,           ,         ,                ,     ,Brewhouse Cafe                                          ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,Trewidden Road                                ,                       ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2BX              ,                      ,50.2085978             ,-5.4812602              ,public                   ,07702 311595               ,public                         ,                           ,                               ,01736 793467               ,public                         ,                                    ,                                   ,marco@stives-brewery.co.uk          ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.stives-brewery.co.uk           ,www.stives-brewery.co.uk              ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/brewhouse-cafe/Screen-Shot-2017-02-02-at-11.16.28.png.png                                     ,
21      ,0    ,organization,public    ,Travel Agents                                      ,           ,                ,          ,           ,         ,                ,     ,St Ives Travel                                          ,          ,                  ,                 ,Station Building       ,                                ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2EQ              ,                      ,50.2094711             ,-5.4780275              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,01736 795908               ,public                         ,                                    ,                                   ,sales@stivestravel.com              ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-travel/Screen-Shot-2017-02-02-at-11.17.09.png.png                                     ,
22      ,0    ,organization,public    ,"Windows,Blinds &amp; Awnings"                     ,           ,                ,          ,           ,         ,                ,     ,Zodiac Interiors                                        ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,154 Penmere Drive                             ,                       ,                         ,                        ,                       ,                     ,Newquay            ,                    ,TR7 1RX               ,                      ,50.4082507             ,-5.091516               ,public                   ,                           ,                               ,                           ,                               ,01637 817862               ,public                         ,                                    ,                                   ,sales@zodiacinteriors.co.uk         ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.zodiacinteriors.co.uk          ,www.zodiacinteriors.co.uk             ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/zodiac-interiors/Screen-Shot-2017-02-02-at-11.16.58.png.png                                   ,
23      ,0    ,organization,public    ,Funeral Directors &amp; Undertakers                ,           ,                ,          ,           ,         ,                ,     ,W J Winn Funeral Directors                              ,          ,                  ,                 ,Trenwith Terrace       ,                                ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 1QE              ,                      ,50.210463              ,-5.4842775              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 793029               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/w-j-winn-funeral-directors/Screen-Shot-2017-02-02-at-11.17.20.png.png                         ,
24      ,0    ,organization,public    ,"Courses,Activities,Equestrian"                    ,           ,                ,          ,           ,         ,                ,     ,Penhalwyn Trekking Centre & School                      ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,Halsetown          ,                    ,TR26 3AN              ,                      ,50.1931189             ,-5.4973683              ,public                   ,                           ,                               ,01736 796461               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/penhalwyn-trekking-centre-school/Screen-Shot-2017-02-02-at-11.17.34.png.png                   ,
25      ,0    ,organization,public    ,Accommodation                                      ,           ,                ,          ,           ,         ,                ,     ,Cottage Boutique                                        ,          ,                  ,                 ,Unit 3                 ,The Old Forge                   ,                         ,                        ,                       ,                     ,Lelant             ,                    ,TR27 6JG              ,                      ,50.17631               ,-5.4432332              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,7980393916                 ,public                         ,01736 796100               ,public                         ,                           ,                               ,                                    ,                                   ,info@cottage-boutique.co.uk         ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.cottage-boutique.co.uk         ,www.cottage-boutique.co.uk            ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/cottage-boutique/Screen-Shot-2017-02-02-at-11.17.54.png.png                                   ,
